,Log10 INPs,Wind speed,Max gust direction,Max gust speed, Max Gust Ctime,Dry Bulb T,Dew Point T,Grass T,Concrete T,Soil T,Rainfall Total,Radiation Total,Humidity,rain_past_hour,smps_total_over500,smps_total_sub500,aps_1um,aps_sub_1um
Wind speed,-0.0968071312174,1.0,-0.0433401449921,0.921499566477,-0.0304787772474,0.402338245473,0.0194794965112,0.320315086427,0.296957392939,0.387368255293,-0.409378629695,0.132719845044,-0.456881032131,-0.290223340857,-0.0676169641051,-0.104066257029,0.242773400687,-0.304965046618
Max gust direction,0.369898971382,-0.0433401449921,1.0,0.107803966213,0.246395334371,-0.150062521584,-0.0612565231196,-0.238704964766,-0.264179685557,-0.220298329454,-0.177290469065,0.00656314709929,0.0931629044542,-0.262807712907,0.322811016643,0.145879594485,-0.108934146961,0.330406845383
Max gust speed,-0.0846950701025,0.921499566477,0.107803966213,1.0,0.0534015608446,0.255693192518,-0.0772239100741,0.18213974402,0.153344380823,0.221228732419,-0.372063479774,0.13047244104,-0.403701326537,-0.334306179653,0.0555598435393,-0.224073667157,0.0886154399455,-0.383194919356
 Max Gust Ctime,0.351050432195,-0.0304787772474,0.246395334371,0.0534015608446,1.0,-0.111573841571,-0.194664557918,-0.220202244363,-0.234758544894,0.0899375981906,-0.0325063974798,0.545541904862,-0.095071034525,-0.34431734056,0.254392917404,0.0459355213674,-0.138567457734,-0.0351291347052
Unnamed: 0,0.293802621444,-0.236320110738,0.35486207209,-0.0391167597707,0.144044036417,-0.630353146678,-0.488201865893,-0.656249034109,-0.673204092931,-0.841426523262,-0.136972002855,-0.310684313329,0.153237530418,-0.0361033284725,0.168439920657,-0.341737876912,-0.21001778015,0.169794502745
Dry Bulb T,0.134214181284,0.402338245473,-0.150062521584,0.255693192518,-0.111573841571,1.0,0.663209373611,0.907434043622,0.810075902455,0.821755649217,-0.288298711463,0.236424624984,-0.413895593883,-0.368756593517,-0.372380322946,-0.0706670911459,0.0757796847009,-0.20576606907
Dew Point T,0.159824143346,0.0194794965112,-0.0612565231196,-0.0772239100741,-0.194664557918,0.663209373611,1.0,0.40461861373,0.254177185188,0.406205781406,0.0408340815926,-0.355318131149,0.405949284538,0.00663813089507,0.0845819182477,0.358763021774,0.102719930261,0.0311910078727
Grass T,-0.0546334048783,0.320315086427,-0.238704964766,0.18213974402,-0.220202244363,0.907434043622,0.40461861373,1.0,0.973685230424,0.813297002525,-0.300577649661,0.417844378004,-0.614251017519,-0.365866987171,-0.504244393814,-0.203649000374,0.0824197185922,-0.212854507827
Concrete T,-0.124798863896,0.296957392939,-0.264179685557,0.153344380823,-0.234758544894,0.810075902455,0.254177185188,0.973685230424,1.0,0.79691972538,-0.287633846707,0.495671159031,-0.675427106988,-0.343030121929,-0.512193609377,-0.234436884217,0.0675995372743,-0.204952968175
Soil T,-0.043875762199,0.387368255293,-0.220298329454,0.221228732419,0.0899375981906,0.821755649217,0.406205781406,0.813297002525,0.79691972538,1.0,-0.0441102705318,0.530300411471,-0.496151691238,-0.29193941642,-0.299386190481,0.0398469518904,0.0223001388853,-0.288826749786
